Level_Name,total_arrows,total_edges,max_in_degree,edges_per_arrow,dependency_density,has_cycle_bool,critical_nodes,critical_edges,avg_row_blockers,avg_col_blockers,crowded_rows,crowded_cols,
lv0.json,3,0,0,0,0,FALSE,1,0,3,1,4,0,
lv1.json,3,0,0,0,0,FALSE,1,0,3,1,4,0,
lv2.json,5,5,2,1,0.25,FALSE,4,3,3.6,2,5,3,
lv3.json,7,8,3,1.142857143,0.1904761905,FALSE,5,7,3.714285714,3.142857143,7,6,
lv4.json,10,16,7,1.6,0.1777777778,FALSE,5,7,5.333333333,3.555555556,9,7,
lv5.json,15,38,6,2.533333333,0.180952381,FALSE,9,19,3.285714286,7.3,12,10,
lv6.json,20,43,6,2.15,0.1131578947,FALSE,9,11,5.857142857,5.909090909,14,11,
lv7.json,32,70,8,2.1875,0.07056451613,FALSE,7,11,5.3125,6.125,14,15,
lv8.json,20,43,7,2.15,0.1131578947,FALSE,8,16,3.928571429,7.4,14,10,
lv9.json,26,42,5,1.615384615,0.06461538462,FALSE,6,8,5.55,8.6,20,15,
lv10.json,43,119,8,2.76744186,0.06589147287,FALSE,16,28,7,8.0625,13,14,
lv11.json,21,43,7,2.047619048,0.1023809524,FALSE,11,18,6.066666667,5.923076923,15,13,
lv12.json,32,70,4,2.1875,0.07056451613,FALSE,15,26,6.05,8.733333333,20,15,
lv13.json,24,59,7,2.458333333,0.106884058,FALSE,12,27,6.058823529,6.642857143,17,14,
lv14.json,34,113,15,3.323529412,0.1007130125,FALSE,16,45,6.314285714,9.625,34,20,
lv15.json,6,3,2,0.5,0.1,FALSE,2,1,3.428571429,2.5,6,5,
lv16.json,27,68,9,2.518518519,0.09686609687,FALSE,17,40,5.8,7.538461538,15,13,
lv17.json,35,98,18,2.8,0.08235294118,FALSE,9,15,6.24137931,12.24137931,27,27,
lv18.json,14,26,5,1.857142857,0.1428571429,FALSE,5,8,4.083333333,6,11,9,
lv19.json,27,84,9,3.111111111,0.1196581197,FALSE,15,29,6.111111111,8.2,18,15,
lv20.json,47,131,10,2.787234043,0.0605920444,FALSE,13,23,7.32,10.88235294,25,17,x
lv21.json,14,28,6,2,0.1538461538,FALSE,9,14,4.818181818,4.818181818,10,11,
lv22.json,50,160,14,3.2,0.06530612245,FALSE,12,17,6.956521739,10.5,20,16,
lv23.json,41,120,14,2.926829268,0.07317073171,FALSE,15,37,5.833333333,8.321428571,19,24,x
