Level_Name,total_arrows,total_edges,max_in_degree,edges_per_arrow,dependency_density,has_cycle_bool,critical_longest_nodes,critical_edges_on_chain,num_wayBlockers,num_blackHoles,sum_wayBlocker_lockTime,avg_wayBlocker_lockTime,avg_row_blockers,avg_col_blockers,crowded_rows,crowded_cols,PC1_raw,DifficultyScore_0_10,kmeans_cluster,DifficultyLabel,is_outlier_if_1
lv0_original.json,3,0,0,0.0,0.0,0,1,0,0,0,0,0.0,3.0,1.0,4,0,-6.8347766308291655,0.20877064036257767,1,1,0
lv1_original.json,3,0,0,0.0,0.0,0,1,0,0,0,0,0.0,3.0,1.0,4,0,-6.834776630829163,0.2087706403625797,1,1,0
lv2_original.json,5,5,2,1.0,0.25,0,4,3,0,0,0,0.0,3.6,2.0,5,3,-6.901869716336593,0.15786274521233423,1,1,0
lv3_original.json,7,8,3,1.142857143,0.1904761905,0,5,7,0,0,0,0.0,3.714285714,3.142857143,7,6,-6.081325024654968,0.7804634620267746,1,1,0
lv4_original.json,10,16,7,1.6,0.1777777778,0,5,7,0,0,0,0.0,5.333333333,3.555555556,9,7,-5.214917205649566,1.4378635215663707,1,1,0
lv5_original.json,15,38,6,2.533333333,0.180952381,0,9,19,0,0,0,0.0,3.285714286,7.3,12,10,-4.2070889463711,2.2025684828119005,1,1,0
lv6_original.json,20,43,6,2.15,0.1131578947,0,9,11,0,0,0,0.0,5.857142857,5.909090909,14,11,-3.6477008559659985,2.627012671646907,1,1,0
lv7_original.json,32,70,8,2.1875,0.07056451613,0,7,11,0,0,0,0.0,5.3125,6.125,14,15,-2.9903053178869796,3.1258214963067825,2,2,0
lv8_original.json,20,43,7,2.15,0.1131578947,0,8,16,0,0,0,0.0,3.928571429,7.4,14,10,-3.774154656957544,2.5310639342540697,1,1,0
lv9_original.json,26,42,5,1.615384615,0.06461538462,0,6,8,0,0,0,0.0,5.55,8.6,20,15,-2.9905041465858595,3.125670632019072,2,2,0
lv10_original.json,43,119,8,2.76744186,0.06589147287,0,16,28,0,0,0,0.0,7.0,8.0625,13,14,-1.673715788342218,4.124803749381924,2,2,0
lv11_original.json,21,43,7,2.047619048,0.1023809524,0,11,18,0,0,0,0.0,6.066666667,5.923076923,15,13,-3.2792574681218336,2.9065746744272793,2,2,0
lv12_original.json,32,70,4,2.1875,0.07056451613,0,15,26,0,0,0,0.0,6.05,8.733333333,20,15,-2.1608742766740217,3.7551648654644287,2,2,0
lv13_original.json,24,59,7,2.458333333,0.106884058,0,12,27,0,0,0,0.0,6.058823529,6.642857143,17,14,-2.7438718970480838,3.312806588059546,2,2,0
lv14_original.json,34,113,15,3.323529412,0.1007130125,0,16,45,0,0,0,0.0,6.314285714,9.625,34,20,-0.05493284036744238,5.353079837196943,2,2,0
lv15_original.json,6,3,2,0.5,0.1,0,2,1,1,0,2,2.0,3.428571429,2.5,6,5,-6.236189976211813,0.6629573336876541,1,1,0
lv16_original.json,27,68,9,2.518518519,0.09686609687,0,17,40,1,0,10,10.0,5.8,7.538461538,15,13,-2.0815857229901487,3.8153262568660247,2,2,0
lv17_original.json,35,98,18,2.8,0.08235294118,0,9,15,1,0,10,10.0,6.24137931,12.24137931,27,27,0.05153317770925908,5.433862541469988,2,2,0
lv18_original.json,14,26,5,1.857142857,0.1428571429,0,5,8,1,0,3,3.0,4.083333333,6.0,11,9,-4.579278158126612,1.9201642793861433,1,1,0
lv19_original.json,27,84,9,3.111111111,0.1196581197,0,15,29,1,0,4,4.0,6.111111111,8.2,18,15,-1.8418244342048236,3.99724876733425,2,2,0
lv20_original.json,47,131,10,2.787234043,0.0605920444,0,13,23,0,0,0,0.0,7.32,10.88235294,25,17,-0.565536420258698,4.96565163484418,2,2,0
lv21_original.json,14,28,6,2.0,0.1538461538,0,9,14,0,0,0,0.0,4.818181818,4.818181818,10,11,-4.428973775817267,2.0342100067119366,1,1,0
lv22_original.json,50,160,14,3.2,0.06530612245,0,12,17,0,0,0,0.0,6.956521739,10.5,20,16,-0.5651985039367851,4.965908033973172,2,2,0
lv23_original.json,41,120,14,2.926829268,0.07317073171,0,15,37,0,0,0,0.0,5.833333333,8.321428571,19,24,-0.7301238069788015,4.8407684615211695,2,2,0
lv24_original.json,32,53,7,1.65625,0.05342741935,0,8,11,0,0,0,0.0,6.4,8.0,20,15,-2.558896858947412,3.453159200759089,2,2,0
lv26_original.json,25,61,7,2.44,0.1016666667,0,13,23,0,0,0,0.0,7.444444444,6.142857143,18,14,-2.512566999114863,3.488312683846698,2,2,0
lv27_original.json,44,147,10,3.340909091,0.07769556025,0,15,43,0,0,0,0.0,8.272727273,8.941176471,22,17,-0.4238699209444881,5.073143237575603,2,2,0
lv28_original.json,32,92,8,2.875,0.09274193548,0,14,37,0,0,0,0.0,7.09375,5.846153846,31,23,-0.9508909724932973,4.673258029862989,2,2,0
